                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.76945,                0.75684,                 0.9713,                0.58138,                0.43612,                0.44815,                0.33212,                  1.099,                 1.5574,                 1.1881,             0.00012886,             0.00012886,             0.00012886
                    114,                 0.7752,                0.75713,                0.97403,                0.57474,                0.45552,                0.45272,                0.33597,                 1.1019,                 1.5722,                 1.1839,             0.00012252,             0.00012252,             0.00012252
                    115,                0.75354,                0.73888,                0.96809,                 0.5539,                0.43793,                0.44858,                0.33596,                 1.1026,                 1.5969,                 1.1874,             0.00011617,             0.00011617,             0.00011617
                    116,                0.75759,                0.73721,                0.95943,                0.54566,                0.44673,                0.44702,                0.33407,                 1.1061,                 1.5764,                 1.1911,             0.00010983,             0.00010983,             0.00010983
                    117,                0.74368,                0.72662,                0.96414,                0.57428,                0.44256,                0.44811,                0.33344,                 1.1074,                 1.5741,                 1.1896,             0.00010348,             0.00010348,             0.00010348
                    118,                 0.7593,                 0.7326,                0.96109,                0.51985,                0.46956,                0.44513,                0.33253,                 1.1084,                 1.5956,                 1.1893,             9.7141e-05,             9.7141e-05,             9.7141e-05
                    119,                0.73913,                0.71609,                0.95777,                0.56634,                0.43746,                0.44468,                 0.3333,                 1.1066,                 1.5894,                 1.1931,             9.0797e-05,             9.0797e-05,             9.0797e-05
                    120,                0.73501,                0.70475,                0.95745,                0.58107,                0.44596,                 0.4478,                0.33726,                 1.0975,                 1.5857,                 1.1929,             8.4453e-05,             8.4453e-05,             8.4453e-05
                    121,                0.74033,                0.68154,                0.95566,                0.54612,                0.44054,                0.44432,                0.33354,                 1.1056,                  1.588,                 1.2006,              7.811e-05,              7.811e-05,              7.811e-05
                    122,                 0.7157,                  0.638,                0.94351,                0.55508,                0.43525,                0.43907,                0.33163,                 1.1038,                 1.5926,                 1.2022,             7.1766e-05,             7.1766e-05,             7.1766e-05
                    123,                0.71845,                0.63543,                0.94088,                0.58171,                0.43644,                0.43861,                0.33086,                   1.11,                 1.5882,                 1.2036,             6.5423e-05,             6.5423e-05,             6.5423e-05
                    124,                0.69892,                0.62358,                0.93908,                0.55118,                0.43624,                0.43506,                0.32677,                  1.106,                 1.5969,                 1.1999,             5.9079e-05,             5.9079e-05,             5.9079e-05
                    125,                0.70164,                0.61607,                0.93934,                0.55993,                0.43597,                0.44018,                0.33083,                 1.1101,                 1.6009,                 1.1999,             5.2735e-05,             5.2735e-05,             5.2735e-05
                    126,                 0.6991,                0.61543,                0.93964,                0.54572,                0.44529,                 0.4381,                0.32783,                 1.1093,                 1.6117,                 1.2013,             4.6392e-05,             4.6392e-05,             4.6392e-05
                    127,                0.68874,                0.61194,                0.93418,                0.56234,                 0.4354,                0.43865,                0.32805,                 1.1135,                 1.6056,                 1.2063,             4.0048e-05,             4.0048e-05,             4.0048e-05
                    128,                0.68386,                 0.5998,                0.93628,                0.54983,                0.44367,                0.43966,                 0.3295,                 1.1147,                 1.6079,                 1.2079,             3.3704e-05,             3.3704e-05,             3.3704e-05
                    129,                0.68546,                0.60047,                0.93562,                0.56263,                0.43507,                0.43778,                 0.3283,                 1.1085,                 1.6257,                 1.2058,             2.7361e-05,             2.7361e-05,             2.7361e-05
                    130,                0.68328,                0.59605,                0.93249,                0.55954,                0.44033,                0.43974,                0.32918,                 1.1072,                 1.6154,                 1.2036,             2.1017e-05,             2.1017e-05,             2.1017e-05
